Date,Open,High,Low,Close
11/11/2017 0:00,6570.31,6827.72,6198.56,6337
11/12/2017 0:00,6337,6466.46,5507.29,5857.32
11/13/2017 0:00,5857.32,6766.81,5823.86,6517.68
11/14/2017 0:00,6517.68,6727.76,6442.4,6598.77
11/15/2017 0:00,6598.77,7336.8,6598.77,7279
11/16/2017 0:00,7279,7983.72,7122.46,7843.94
11/17/2017 0:00,7843.94,7998.4,7541.04,7689.91
11/18/2017 0:00,7689.91,7848.94,7460.11,7776.94
11/19/2017 0:00,7776.94,8101.91,7678.37,8033.94
11/20/2017 0:00,8033.94,8286.17,7940.87,8238.2
11/21/2017 0:00,8238.2,8362.3,7818.5,8095.59
11/22/2017 0:00,8095.59,8294.49,8074.53,8230.69
11/23/2017 0:00,8230.69,8268.32,8002.64,8002.64
11/24/2017 0:00,8002.64,8333.17,7892.68,8201.46
11/25/2017 0:00,8201.46,8773.9,8156.75,8763.78
11/26/2017 0:00,8763.78,9484.91,8757.36,9326.59
11/27/2017 0:00,9326.59,9739.05,9326.59,9739.05
11/28/2017 0:00,9739.05,9969.12,9645.88,9908.23
11/29/2017 0:00,9908.23,11377.33,9290.3,9816.35
11/30/2017 0:00,9816.35,10681.85,9021.85,9916.54
12/1/2017 0:00,9916.54,10934,9421.46,10859.56
12/2/2017 0:00,10859.56,11156.14,10000,10895.01
12/3/2017 0:00,10895.01,11831.51,10000,11180.89
12/4/2017 0:00,11180.89,11616.85,10000,11616.85
12/5/2017 0:00,11616.85,11860.24,10000,11696.06
12/6/2017 0:00,11696.06,13810.72,10000,13708.99
12/7/2017 0:00,13708.99,17364.56,10000,16858.02
12/8/2017 0:00,16858.02,17153.94,10000,16057.14
12/9/2017 0:00,16057.14,16291.68,10000,14913.4
12/10/2017 0:00,14913.4,15740.25,10000,15036.96
12/11/2017 0:00,15036.96,17383.46,10000,16699.68
12/12/2017 0:00,16699.68,17631.42,10000,17178.1
12/13/2017 0:00,17178.1,17319.92,17178.1,17327.12
12/13/2017 0:15,17327.12,17353.1,17320.64,17364.06
12/13/2017 0:30,17364.06,17383.34,17350.11,17350.59
12/13/2017 0:45,17350.59,17384.56,17328.97,17362.86
12/13/2017 1:00,17362.86,17380.13,17312.18,17320.27
12/13/2017 1:15,17320.27,17320.27,17224.22,17217.76
12/13/2017 1:30,17217.76,17250.03,17078.31,17138.75
12/13/2017 1:45,17138.75,17235.97,17138.75,17188.1
12/13/2017 2:00,17188.1,17253.38,17112.7,17075.25
12/13/2017 2:15,17075.25,17075.25,16983.59,16977.93
12/13/2017 2:30,16977.93,16977.93,16767.62,16725.91
12/13/2017 2:45,16725.91,16725.91,16417.16,16665.11
12/13/2017 3:00,16665.11,16835.77,16637.45,16773.85
12/13/2017 3:15,16773.85,16773.85,16629.47,16672.4
12/13/2017 3:30,16672.4,16798.93,16659.75,16785.76
12/13/2017 3:45,16785.76,16786.64,16645.68,16678.29
12/13/2017 4:00,16678.29,16678.29,16514.39,16496.86
12/13/2017 4:15,16496.86,16496.86,16463.27,16489.39
12/13/2017 4:30,16489.39,16665.41,16487.26,16647.42
12/13/2017 4:45,16647.42,16660.88,16597.97,16667.63
12/13/2017 5:00,16667.63,16929.31,16667.63,16923.11
12/13/2017 5:15,16923.11,16923.11,16889.77,16931.87
12/13/2017 5:30,16931.87,16962.95,16930.64,16930.92
12/13/2017 5:45,16930.92,16931.27,16888.92,16908.31
12/13/2017 6:00,16908.31,16908.31,16795.09,16826.56
12/13/2017 6:15,16826.56,16832.52,16794,16773.09
12/13/2017 6:30,16773.09,16782.67,16739.42,16777.58
12/13/2017 6:45,16777.58,16844.01,16777.58,16844.86
12/13/2017 7:00,16844.86,16857.43,16807.42,16817.84
12/13/2017 7:15,16817.84,16819.75,16753.02,16795.45
12/13/2017 7:30,16795.45,16809.98,16766.76,16770.28
12/13/2017 7:45,16770.28,16819.36,16767.97,16789.91
12/13/2017 8:00,16789.91,16794.66,16766.31,16780.01
12/13/2017 8:15,16780.01,16780.01,16726.79,16742.65
12/13/2017 8:30,16742.65,16879.95,16742.65,16881.46
12/13/2017 8:45,16881.46,16891.39,16865.64,16863.9
12/13/2017 9:00,16863.9,16870.61,16789.3,16784.36
12/13/2017 9:15,16784.36,16829.11,16779.32,16828.36
12/13/2017 9:30,16828.36,16842.98,16827.15,16851.12
12/13/2017 9:45,16851.12,16872.03,16832.15,16865.02
12/13/2017 10:00,16865.02,16898.51,16863.13,16907.1
12/13/2017 10:15,16907.1,16917.5,16866.77,16869.21
12/13/2017 10:30,16869.21,16874.74,16816.29,16879.09
12/13/2017 10:45,16879.09,16894.31,16846.99,16855.67
12/13/2017 11:00,16855.67,16883.08,16818.38,16883.57
12/13/2017 11:15,16883.57,16883.57,16835.94,16846.38
12/13/2017 11:30,16846.38,16847.02,16827.2,16842.25
12/13/2017 11:45,16842.25,16846.91,16829.76,16837.03
12/13/2017 12:00,16837.03,17111.92,16837.03,17076.06
12/13/2017 12:15,17076.06,17187.55,17065.09,17170.87
12/13/2017 12:30,17170.87,17269.55,17134.87,17267.25
12/13/2017 12:45,17267.25,17335.73,17188.39,17204.74
12/13/2017 13:00,17204.74,17209.09,17126.62,17214.6
12/13/2017 13:15,17214.6,17289.74,17214.6,17249.13
12/13/2017 13:30,17249.13,17249.13,17175.81,17189.44
12/13/2017 13:45,17189.44,17208.98,17131.65,17136.15
12/13/2017 14:00,17136.15,17164.41,17134.24,17178.17
12/13/2017 14:15,17178.17,17267.41,17178.17,17190.77
12/13/2017 14:30,17190.77,17190.92,17163.47,17173.1
12/13/2017 14:45,17173.1,17185.96,17090.58,17125.3
12/13/2017 15:00,17125.3,17220.39,17125.3,17217.67
12/13/2017 15:15,17217.67,17224.95,17152.73,17137.22
12/13/2017 15:30,17137.22,17150.43,17082.61,17084.07
12/13/2017 15:45,17084.07,17084.07,17034.05,17013.18
12/13/2017 16:00,17013.18,17013.18,16934,16979.95
12/13/2017 16:15,16979.95,17014.03,16958.35,16985.87
12/13/2017 16:30,16985.87,16985.87,16847.59,16844.4
12/13/2017 16:45,16844.4,16844.4,16694.98,16770.32
12/13/2017 17:00,16770.32,16770.32,16543.05,16627.22
12/13/2017 17:15,16627.22,16632.21,16551.71,16544.5
12/13/2017 17:30,16544.5,16544.5,16384.56,16512.96
12/13/2017 17:45,16512.96,16682.22,16512.96,16534.98
12/13/2017 18:00,16534.98,16534.98,16249.33,16279.13
12/13/2017 18:15,16279.13,16285.91,15971.24,15935.97
12/13/2017 18:30,15935.97,16127.54,15799.87,16112.02
12/13/2017 18:45,16112.02,16343.12,16079.37,16272.64
12/13/2017 19:00,16272.64,16352.77,16146.95,16183.43
12/13/2017 19:15,16183.43,16482.25,16183.43,16414.93
12/13/2017 19:30,16414.93,16414.93,16292.33,16410.4
12/13/2017 19:45,16410.4,16463.42,16375.16,16453.57
12/13/2017 20:00,16453.57,16515.68,16446.98,16390.31
12/13/2017 20:15,16390.31,16403.95,16324.81,16406.03
12/13/2017 20:30,16406.03,16406.03,16283.38,16276.89
12/13/2017 20:45,16276.89,16287.48,16247.62,16231.66
12/13/2017 21:00,16231.66,16649.17,16231.66,16621.06
12/13/2017 21:15,16621.06,16666.17,16577.79,16651.09
12/13/2017 21:30,16651.09,16673.79,16634.73,16655.71
12/13/2017 21:45,16655.71,16733.4,16645.12,16726.23
12/13/2017 22:00,16726.23,16758.05,16674.95,16667.45
12/13/2017 22:15,16667.45,16667.45,16579.99,16628.17
,,,,
This data was produced from the CoinDesk price page.,,,,
http://www.coindesk.com/price/,,,,
